10.1016/j.quaint.2008.05.006,"database includes European, Asiatic and North African samples from the European Pollen Database (EPD)",Quaternary International,Coupled atmospheric and marine palaeoclimatic reconstruction for the last 35ka in the Sele Plain–Gulf of Salerno area (southern Italy),European Pollen Database
10.1016/j.quaint.2008.05.014,"databases, collections of several hundreds of well-dated sequences (e.g. European Pollen Database) and",Quaternary International,Pollen-inferred Late-Glacial and Holocene climate in southern Balkans (Lake Maliq),European Pollen Database
10.1016/j.quaint.2014.05.001,"letters (i.e. a, b). The entire palynological dataset will be stored at the European Pollen Database (EPD)",Quaternary International,Palaeoecological evidence for Mesolithic to Medieval climatic change and anthropogenic impact on the Alpine flora and vegetation of the Silvretta Massif (Switzerland/Austria),European Pollen Database
10.1016/j.marmicro.2006.07.006,analysed in this study; white circles represent the modern samples from the European Pollen Database; white,Marine Micropaleontology,Present-day and past (last 25000 years) marine pollen signal off western Iberia,European Pollen Database
10.1006/qres.2000.2179,"pollen diagrams for the Ioannina core (Bottema, 1974) are derived from the European Pollen Database.  expansion",Quaternary Research,"A 12,000-Year Pollen Record from Lake Maliq, Albania",European Pollen Database
10.1007/s00334-019-00726-5,"Eemian pollen sequences from different sources, including Pangaea, the European Pollen Database, and",Vegetation History and Archaeobotany,Compositional turnover and variation in Eemian pollen sequences in Europe,European Pollen Database
10.1111/j.1502-3885.2009.00096.x,and west Central Europe based on pollen data of multiple sites from the European Pollen Database (Davis,Boreas,Vegetation and climate history in the Westeifel Volcanic Field (Germany) during the past 11 000 years based on annually laminated lacustrine maar sediments,European Pollen Database
10.1016/j.quascirev.2012.05.011,"selection Pollen records from 98 sites (Fig. 1) were obtained either from the European Pollen Database, the",Quaternary Science Reviews,Quantitative reconstructions of changes in regional openness in north-central Europe reveal new insights into old questions,European Pollen Database
10.1080/14614103.2018.1478376,"H. W. Bradshaw, S. Brewer, A. Le Flao, W. Finsinger, et al. 2009. “The European Pollen Database: Past",Environmental Archaeology,"The use of Scientific Techniques in the Study, Reconstruction of and Human Interaction with Woodlands: Introduction to the Special Issue",European Pollen Database
10.1016/S0921-8181(01)00082-0,"Vandenberghe, 1998. have become available. When stored in databases Že.g. European Pollen Database, Multi-Proxy",Global and Planetary Change,The two major warming phases of the last deglaciation at ∼14.7 and ∼11.5 ka cal BP in Europe: climate reconstructions and AGCM experiments,European Pollen Database
,"CNRS Luminy, Case 907 13288 Marseille cedex 09, France Cheddadi, Rachid European Pollen Database Centre",Open-File Report,Pliocene terrestrial environments and data/model comparisons,European Pollen Database
10.1080/00173134.2017.1282976,http://dx.doi.org/10.1080/00173134.2017.1282976 CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE  35.,Grana,"35. Labradillos mire, Gregos Range (central Spain)",European Pollen Database
10.1080/00291950310000776,"North American Pollen Database (www.ngdc.noaa.gov/paleo/ napd.html), European Pollen Database (www.ngdc.noaa.",Norsk Geografisk Tidsskrift - Norwegian Journal of Geography,"Contributing to global change science: the ethics, obligations and opportunities of working with palaeoenvironmental databases",European Pollen Database
10.1111/bor.12183,of the sites (Holtj€arnen and Lilla Gloppsjo€n) were obtained from the European Pollen Database (EPD,Boreas,"Importance of climate, forest fires and human population size in the Holocene boreal forest composition change in northern Europe",European Pollen Database
10.1016/S1040-6182(01)00106-9,"preparation, 2001) their absolute pollen counts are transferred to the European Pollen Database (LBHP,",Quaternary International,"Diversified development of mountain mires, Bohemian Forest, Central Europe, in the last 13,000 years",European Pollen Database
10.1111/j.1365-2699.2012.02738.x,"dating control, leaving us with 198 pollen records: 123 sites from the European Pollen Database (Fyfe",Journal of Biogeography,"The mid-Holocene vegetation of the Mediterranean region and southern Europe, and comparison with the present day",European Pollen Database
10.1016/S0277-3791(00)00089-5,"their localities, and references used in Fig. 5 and Table 1 are from the European Pollen Database (http.//medias.meteo.fr/paleo/pollen.",Quaternary Science Reviews,Reconstructing palaeotemperatures for the Early and Middle Pleistocene using the mutual climatic range method based on plant fossils,European Pollen Database
10.1016/j.quascirev.2010.05.031,compiled for 153 sites (Fig. 1). Most data were extracted from either the European Pollen Database (EPD;,Quaternary Science Reviews,Last glacial vegetation of northern Eurasia,European Pollen Database
10.1080/00173134.2015.1120342,http://dx.doi.org/10.1080/00173134.2015.1120342 CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE 29.,Grana,29. Vrbka (Czech Republic): Pollen record of secondary steppe vegetation development within the Bronze Age agricultural landscape,European Pollen Database
10.1016/j.revpalbo.2018.01.001,"should also be useful as part of future pollen–plant databases, e.g. the European Pollen Database (http://www.europeanpollendatabase.",Review of Palaeobotany and Palynology,Modern pollen–vegetation relationships in traditionally mown and unmanaged boreal rich-fen communities in central Norway,European Pollen Database
10.1111/j.1365-2699.2004.01095.x,abies (Appendix 1). Sites were located by literature search and from the European Pollen Database (EPD:,Journal of Biogeography,The Holocene spread of Picea abies (L.) Karst. in Fennoscandia and adjacent areas,European Pollen Database
10.1016/j.ancene.2023.100401,"Availability The Lago di Vedana pollen dataset will be submitted to the European Pollen Database, available",Anthropocene,"Human impact on vegetation at Lago di Vedana (Dolomites, Northern Italy) during the last seven centuries",European Pollen Database
10.1016/j.palaeo.2017.12.004,"Moreno-Amat et al. (2017) to ﬁrstly compile information from general sources, European Pollen Database (Fyfe","Palaeogeography, Palaeoclimatology, Palaeoecology",Glacial refugia and mid-Holocene expansion delineate the current distribution of Castanea sativa in Europe,European Pollen Database
10.1016/j.catena.2018.06.010,"diagram ‘Unter-Ückersee’ (UEC) of Jahns (2001; data available at the European Pollen Database, EPD;",CATENA,Stratigraphy and age of colluvial deposits indicating Late Holocene soil erosion in northeastern Germany,European Pollen Database
10.1111/j.1365-2699.2011.02646.x,"palaeobotanical evidence for occurrences of Myrtus species was reviewed using the European Pollen Database, the",Journal of Biogeography,From Mediterranean shores to central Saharan mountains: key phylogeographical insights from the genus Myrtus,European Pollen Database
10.1007/s00334-021-00824-3,https://doi.org/10.1007/s00334-021-00824-3 SHORT COMMUNICATION  Contribution to the European Pollen Database in,Vegetation History and Archaeobotany,"Contribution to the European Pollen Database in Neotoma: a pollen diagram of Rokytecká slať mire, Bohemian Forest/Šumava (Czech Republic)",European Pollen Database
10.1080/02827581.2014.960893,"1972) and Lake Kansjön (Jacobson, unpublished, data extracted from the European Pollen Database). New",Scandinavian Journal of Forest Research,From broadleaves to spruce – the borealization of southern Sweden,European Pollen Database
10.1016/j.revpalbo.2010.06.014,"(the North American Pollen Database, n = 4833: Whitmore et al., 2005; European pollen database, n",Review of Palaeobotany and Palynology,Are pollen-based climate models improved by combining surface samples from soil and lacustrine substrates?,European Pollen Database
10.1016/j.tree.2011.09.009,"practices. Trends Ecol. Evol. 26, 61–65 73 Fyfe, R.M. et al. (2009) The European Pollen Database: past",Trends in Ecology & Evolution,Paleoecoinformatics: applying geohistorical data to ecological questions,European Pollen Database
10.1016/j.quascirev.2013.02.011,to the new record. We made use of data publicly available through the European Pollen Database (Fyfe,Quaternary Science Reviews,Environmental conditions in the SE Balkans since the Last Glacial Maximum and their influence on the spread of agriculture into Europe,European Pollen Database
10.1016/j.quascirev.2011.06.012,"red area) and fossil LGM (25e17 ka) records: triangles, pollen records (European Pollen Database (http://europeanpollendatabase.net/data/);",Quaternary Science Reviews,Applications of species distribution modeling to paleobiology,European Pollen Database
10.1016/j.quascirev.2015.01.013,"analysed, including the surface sample training set. Data has come from the European Pollen Database (EPD),",Quaternary Science Reviews,The climate of Europe during the Holocene: a gridded pollen-based reconstruction and its multi-proxy evaluation,European Pollen Database
10.1016/j.yqres.2015.03.006,"(Novenko et al., 2014). Modern surface samples were derived from the European Pollen Database (EPD)",Quaternary Research,"The Holocene paleoenvironmental history of central European Russia reconstructed from pollen, plant macrofossil, and testate amoeba analyses of the Klukva peatland, Tula region",European Pollen Database
10.1111/j.1466-8238.2012.00781.x,"BEMs with fossil pollen-based presence/absence data (obtained from the European Pollen Database, EPD;",Global Ecology and Biogeography,Landscape planning for the future: using fossil records to independently validate bioclimatic envelope models for economically valuable tree species in Europe,European Pollen Database
10.1080/00173134.2012.700728,"March 2017, At: 04:16   Grana, 2012; 51: 249–251  CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE  16.",Grana,16. Poiana Ruscă Mountains (Romania): Peşteana peat bog,European Pollen Database
10.1080/00173131003780016,"2017, At: 08:13   Grana, 2010; 49: 154–156  SCGRA ONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE 11.",Grana,"11. Lake Orestiás (Kastoria, northern Greece)",European Pollen Database
10.1111/1365-2745.13077,approval for publication. DATA ACCESSIBILIT Y All data are deposited in the European Pollen Database (http://www.,Journal of Ecology,Ice cave reveals environmental forcing of long-term Pyrenean tree line dynamics,European Pollen Database
10.1016/j.revpalbo.2017.04.006,"2013) and the electronic data repositories Neotoma, PANGAEA, and the European Pollen Database. These",Review of Palaeobotany and Palynology,Holocene history of ‘non-native’ trees in Ireland,European Pollen Database
10.1007/s00334-010-0262-2,Sheila’s efforts to serve the scientiﬁc community with her commitment to the European Pollen Database (EPD),Vegetation History and Archaeobotany,Towards quantitative palynology: using pollen accumulation rates and models of pollen dispersal,European Pollen Database
10.1080/00173134.2017.1366547,2017 https://doi.org/10.1080/00173134.2017.1366547 CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE 39.,Grana,"39. Las Lanchas, Toledo Mountains (central Spain)",European Pollen Database
10.1016/j.gloplacha.2015.08.004,"same P. oceanica mat core (López-Sáez et al., 2009) is available at the European Pollen Database. The",Global and Planetary Change,Glomalin accumulated in seagrass sediments reveals past alterations in soil quality due to land-use change,European Pollen Database
10.1016/0277-3791(95)00093-3,taxa from core LGM 90D. (The complete dataset has been deposited in the European Pollen Database at,Quaternary Science Reviews,"Vegetation history and palaeoclimate of the last glacial period at Lago Grande di Monticchio, Southern Italy",European Pollen Database
10.1016/j.quascirev.2006.06.007,"Pollen data The pollen data are derived from the sources we had access to: European Pollen Database (EPD,",Quaternary Science Reviews,Late Quaternary expansion of Norway spruce Picea abies (L.) Karst. in Europe according to pollen data,European Pollen Database
10.1016/j.revpalbo.2008.07.007,"The pollen data were retrieved from 208 pollen sequences, held in the European Pollen Database (the",Review of Palaeobotany and Palynology,Postglacial range expansion and its genetic imprints in Abies alba (Mill.) — A synthesis from palaeobotanic and genetic data,European Pollen Database
10.1029/eost2011EO06,"tools and visualizations, linking Neotoma to external databases (e.g., European Pollen Database, National","Eos, Transactions American Geophysical Union","Eos, Transactions, American Geophysical Union Volume 92, Number 6, 8 February 2011",European Pollen Database
10.1046/j.1365-294X.2003.01781.x,"study area [ J.-L. de Beaulieu (CNRS, Marseille) personal communication; European Pollen Database (EPD),",Molecular Ecology,Differential cycles of range contraction and expansion in European high mountain plants during the Late Quaternary: insights from Pritzelago alpina (L.) O. Kuntze (Brassicaceae),European Pollen Database
10.1111/j.1095-8339.2007.00666.x,"probably continuous, presence of eastern beech within its recent range (European Pollen Database [EPD];",Botanical Journal of the Linnean Society,Patterns of allozyme variation in western Eurasian Fagus,European Pollen Database
10.1016/j.quascirev.2013.07.011,sequences. The Lake Zeribar diagram is based on pollen data from the EPD (European Pollen Database). The,Quaternary Science Reviews,"Late Quaternary record of the vegetation and catchment-related changes from Lake Paravani (Javakheti, South Caucasus)",European Pollen Database
10.1016/j.quaint.2012.08.214,"OF EUROPEAN VEGETATION CHANGES OVER THE LAST 15,000 YEARS BASED ON THE EUROPEAN POLLEN DATABASE WITH",Quaternary International,"Patterns of European vegetation changes over the last 15,000 years based on the European Pollen Database with new chronologies",European Pollen Database
10.1007/s00334-019-00731-8,"analysis We collated an FPS database using several internet search engines (European Pollen Database, Web",Vegetation History and Archaeobotany,"Cannabis in Asia: its center of origin and early cultivation, based on a synthesis of subfossil pollen and archaeobotanical studies",European Pollen Database
10.1111/nph.14149,"2011), which should be preferred. All datasets are available from the European Pollen Database. YD,",New Phytologist,Did thermophilous trees spread into central Europe during the Late Glacial?,European Pollen Database
10.1080/00173134.2016.1145733,homepage: http://www.tandfonline.com/loi/sgra20 Contributions to the European Pollen Database. 31.,Grana,Contributions to the European Pollen Database. 31. Endinger Bruch ‘Hoher Birkengraben’ (NE Germany): from lake to carr,European Pollen Database
10.1080/00173134.2014.924990,"309–311, http://dx.doi.org/10.1080/00173134.2014.924990 CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE  24.",Grana,24. Varna Lake (north-eastern Bulgaria): vegetation history and human impact during the last 8000 years,European Pollen Database
10.1080/00173130902965843,"2017, At: 03:41   Grana, 2009; 48: 235–237  SCGRA ONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE  7.",Grana,7. Mire Straldza (Southeastern Bulgaria): Late Holocene vegetation history,European Pollen Database
10.1007/s00334-003-0002-y,land pollen sums. Pollen nomenclature follows the recommendations of the European Pollen Database (Anon.,Vegetation History and Archaeobotany,Vegetation history of mid- to western Ireland in the 2nd millennium a.d.; fresh evidence from tephra-dated palynological investigations,European Pollen Database
10.1016/j.ppees.2012.07.001,"only selected pollen taxa, the full list of species was checked in the European Pollen Database (www.europeanpollendatabase.net),","Perspectives in Plant Ecology, Evolution and Systematics",Buxus in Europe: Late Quaternary dynamics and modern vulnerability,European Pollen Database
10.1016/j.palaeo.2015.08.024,"March 2009, Pangaea (Diepenbroek et al., 2002) state March 2009, and the European Pollen Database (EPD;","Palaeogeography, Palaeoclimatology, Palaeoecology",Pollen and macrofossils attributable to Fagopyrum in western Eurasia prior to the Late Medieval: An intercontinental mystery,European Pollen Database
10.1080/00173134.2011.573863,"March 2017, At: 03:15   Grana, 2011; 50: 162–164 CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE 12.",Grana,12. Western Rhodopes Mountains (Bulgaria): peat bog Beliya Kanton,European Pollen Database
10.1080/00173134.2012.720707,"78–80, http://dx.doi.org/10.1080/00173134.2012.720707 CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE 18.",Grana,"18. Lake Blatisto, Rhodopes Mountains (South Bulgaria)",European Pollen Database
10.1002/2016JG003715,"[Meyer-Jacob et al., 2015], Dragsjön, and Holtjärnen, 30 km NW [Giesecke,  2005; European Pollen Database, 2016].",Journal of Geophysical Research: Biogeosciences,Investigating molecular changes in organic matter composition in two Holocene lake-sediment records from central Sweden using pyrolysis-GC/MS,European Pollen Database
10.1016/j.quaint.2012.07.419,This analysis includes not only data from public databases such as the European Pollen Database (140,Quaternary International,"How do logging and fire affect soil stability? Insights from a 2000 years charcoal record in Southwestern Oregon, USA",European Pollen Database
10.1007/s00334-008-0206-2,Myrica gale. Other pollen nomenclature follows recommendations by the European Pollen Database (1992). A,Vegetation History and Archaeobotany,Land-use patterns and cultural change in the Middle to Late Bronze Age in Ireland: inferences from pollen records,European Pollen Database
10.1007/s00334-020-00814-x,"Archaeobot 23(Suppl 1):S647–S648 Rösch M, Wick L (2019a) Contributions to the European pollen database 41.",Vegetation History and Archaeobotany,"Intensification of agriculture in southwestern Germany between the Bronze Age and Medieval period, based on archaeobotanical data from Baden-Württemberg",European Pollen Database
10.1016/S0378-1127(98)00538-6,many types of data banks that have been established during recent years (European Pollen Database; Markova,Forest Ecology and Management,The palaeoecological approach to reconstructing former grazing–vegetation interactions,European Pollen Database
10.1111/j.1469-8137.2004.00982.x,"data from several hundred lake and mire cores, mostly retrieved from the European pollen database, were",New Phytologist,Symbiotic sequencing for the Populus mesocosm,European Pollen Database
10.1016/j.quaint.2012.08.700,distribution of post-glacial refugia was determined using pollen data from the European Pollen Database. According,Quaternary International,"Human and Climate influence on Floodplain Sedimentation in the Upper Little Tennessee River Valley, Southern Blue Ridge Mountains, USA",European Pollen Database
10.1016/j.earscirev.2018.08.007,"Tarasov, P.E., 2010. Pollen proﬁle KARASYE, Karase Lake, Kazakhstan. European Pollen Database (EPD),",Earth-Science Reviews,Holocene climate variations in the Altai Mountains and the surrounding areas: A synthesis of pollen records,European Pollen Database
10.1016/j.quaint.2012.03.057,"S., Marinova, E., Ivanov, D., Bozilova, E., 2011. Contributions to the European Pollen Database. 12.",Quaternary International,Holocene vegetation history in the Maramureş Mountains (Northern Romanian Carpathians),European Pollen Database
10.1016/j.quaint.2012.08.703,distribution of post-glacial refugia was determined using pollen data from the European Pollen Database. According,Quaternary International,Desert sand dune dynamics and preservation: chrono-stratigraphic records of Quaternary climate change,European Pollen Database
10.1016/S0277-3791(00)00150-5,"from the counting sheets into a PARADOX௡ relational database, using the European Pollen Database structure",Quaternary Science Reviews,Oxygen-isotope wiggle matching as a tool for synchronising ice-core and terrestrial records over Termination 1,European Pollen Database
10.1111/1365-2745.13134,largely overlap. Similar to the pollen data in large databases such as the European Pollen Database (Davis,Journal of Ecology,Patterns of modern pollen and plant richness across northern Europe,European Pollen Database
10.1080/00173134.2017.1329342,2017 https://doi.org/10.1080/00173134.2017.1329342 CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE  37.,Grana,"37. Doda Pilii, Apuseni Mountains (Romania)",European Pollen Database
10.1016/S0378-1127(01)00646-6,"shifts in climate, whereas the * Corresponding author. Present address: European Pollen Database, Centre",Forest Ecology and Management,The spread of deciduous Quercus throughout Europe since the last glacial period,European Pollen Database
10.1111/j.1502-3885.2011.00240.x,References for additional sites used in Fig. 6. Sites taken from the European pollen database or,Boreas,"Younger Dryas cold stage vegetation patterns of central Europe - climate, soil and relief controls",European Pollen Database
10.1080/00173130903407571,"March 2017, At: 05:31   Grana, 2010; 49: 76–78  SCGRA ONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE 9.",Grana,"9. Flambouro, Pieria Mountains (northern Greece)",European Pollen Database
10.1016/j.gloplacha.2011.01.005,temporal changes in MAAT) can be estimated independently (e.g. by the European pollen database). A,Global and Planetary Change,A first evaluation of the spatial gradients in δ18O recorded by European Holocene speleothems,European Pollen Database
10.1016/j.revpalbo.2016.09.010,"Palaeobot. Palynol. 141, 33–49. De Klerk, P., 2016. Contributions to the European Pollen Database 31.",Review of Palaeobotany and Palynology,The enigma of the Diporotheca palynomorph,European Pollen Database
10.1080/00173134.2014.924989,homepage: http://www.tandfonline.com/loi/sgra20 Contributions to the European Pollen Database. 23.,Grana,"Contributions to the European Pollen Database. 23. Prados de Randulanda peat bog (Basque Country, Northern Iberian Peninsula, Spain)",European Pollen Database
10.1111/j.1502-3885.2000.tb01200.x,"Drilling Programme (ELDP). The raw pollen data are accessible from the European Pollen Database, Arles,",Boreas,"Palynological analyses in the laminated sediment of Lake Holzmaar (Eifel, Germany): duration of Lateglacial and Preboreal biozones",European Pollen Database
10.1016/j.quascirev.2016.11.022,supported EB's and IK's travel. Some of the pollen data came from the European Pollen Database (EPD;,Quaternary Science Reviews,Vegetation of Eurasia from the last glacial maximum to present: Key biogeographic patterns,European Pollen Database
10.1016/j.geobios.2006.12.002,"Clet, A.-M. Le´zine). Several present-day pollen spectra come from the European Pollen Database (author",Geobios,Messinian vegetation maps of the Mediterranean region using models and interpolated pollen data,European Pollen Database
10.1016/j.revpalbo.2007.08.003,"cover. Acknowledgements Several modern pollen floras have been provided by the European Pollen Database, some",Review of Palaeobotany and Palynology,A contribution to deciphering the meaning of AP/NAP with respect to vegetation cover,European Pollen Database
10.1016/S0031-0182(00)00032-8,presented ( Fig. 3) and the complete pollen record is available from the European Pollen Database housed,"Palaeogeography, Palaeoclimatology, Palaeoecology","Middle Pleistocene deposits at La Côte, Val-de-Lans, Isère department, France: plant macrofossil, palynological and fossil insect investigations",European Pollen Database
10.1016/j.quascirev.2014.12.004,ECCOREV. Consultation of original pollen data was rendered possible by the European Pollen Database (M.,Quaternary Science Reviews,Lateglacial/Holocene environmental changes in the Mediterranean Alps inferred from lacustrine sediments,European Pollen Database
10.1016/j.quascirev.2011.07.024,large-scale study of age-depth modelling for 111 cores taken from the European Pollen Database (http://www.europeanpollendatabase.net/).,Quaternary Science Reviews,"A review of statistical chronology models for high-resolution, proxy-based Holocene palaeoenvironmental reconstruction",European Pollen Database
10.1016/j.quaint.2012.08.217,"OF EUROPEAN VEGETATION CHANGES OVER THE LAST 15,000 YEARS BASED ON THE EUROPEAN POLLEN DATABASE WITH",Quaternary International,"Domestic Plants, Climate and Human Diet in Transitions: Stable Isotopes Trends in the Late Holocene Southern Andes",European Pollen Database
10.1111/j.1469-8137.2004.00991.x,"data from several hundred lake and mire cores, mostly retrieved from the European pollen database, were",New Phytologist,Symbiotic signaling: new functions for familiar proteins,European Pollen Database
10.1111/j.1469-8137.2004.00989.x,"data from several hundred lake and mire cores, mostly retrieved from the European pollen database, were",New Phytologist,Genotypic control and environmental plasticity ? foliar physiognomy and paleoecology,European Pollen Database
10.1111/j.1365-2699.2007.01803.x,listed by Magri et al. (2006). They have partly been extracted from the European Pollen Database and,Journal of Biogeography,Patterns of post-glacial spread and the extent of glacial refugia of European beech (Fagus sylvatica),European Pollen Database
10.1007/s00334-015-0545-8,with other proxies. A full dataset of pollen counts is available on the European Pollen Database (http://www.europeanpollendatabase.net/),Vegetation History and Archaeobotany,"Olive cultivation in the heart of the Persian Achaemenid Empire: new insights into agricultural practices and environmental changes reflected in a late Holocene pollen record from Lake Parishan, SW Iran",European Pollen Database
10.1080/00173134.2017.1339733,2017 https://doi.org/10.1080/00173134.2017.1339733 CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE  38.,Grana,"38. Peat bog Vapsko-1, Rila mountains (Bulgaria)",European Pollen Database
10.1016/j.quaint.2009.09.005,"databases of sub-fossil pollen assemblages are available for use, such as the European Pollen Database (Fyfe",Quaternary International,Pushing the boundaries of data? Issues in the construction of rich visual past landscapes,European Pollen Database
10.1016/j.revpalbo.2008.08.007,"environments of Spain. Rev. Palaeobot. Palynol.120, 217–232. Cheddadi, R., 2002. European Pollen Database. IGBP",Review of Palaeobotany and Palynology,"Characteristics of the modern pollen distribution and their relationship to vegetation in the Xinjiang region, northwestern China",European Pollen Database
10.1016/j.palaeo.2007.09.015,"Nomenclature of pollen and spore types follows the conventions of the EPD (European Pollen Database, Arles,","Palaeogeography, Palaeoclimatology, Palaeoecology","The role of pingos in the development of the Dzhangyskol lake–pingo complex, central Altai Mountains, southern Siberia",European Pollen Database
10.1080/00173134.2012.716078,"March 2017, At: 02:42   Grana, 2012; 51: 318–320  CONTRIBUTIONS TO THE EUROPEAN POLLEN DATABASE 17.",Grana,17. Lake Skakavitsa (Bulgaria): Late Holocene vegetation dynamics in north-western Rila Mountains,European Pollen Database
10.1016/j.quaint.2012.08.213,"OF EUROPEAN VEGETATION CHANGES OVER THE LAST 15,000 YEARS BASED ON THE EUROPEAN POLLEN DATABASE WITH",Quaternary International,A Half-Million Year Geochemical Record of Climate from Cariaco Basin,European Pollen Database
10.1111/geb.12090,"possible through their contribution to the Global Charcoal Database and the European Pollen Database, and",Global Ecology and Biogeography,Exploring potential drivers of European biomass burning over the Holocene: a data-model analysis,European Pollen Database
10.1016/j.quascirev.2018.08.015,"species (van Proosdij et al., 2015). Paleoecological archives, such as the European Pollen Database (http://www.europeanpollendatabase.net),",Quaternary Science Reviews,Spatial sampling bias in the Neotoma paleoecological archives affects species paleo-distribution models,European Pollen Database
10.1007/BF00202021,pollen has been counted per sample. The raw data may be consulted in the European Pollen Database or,Vegetation History and Archaeobotany,"Reconstruction of Middle Pleistocene palaeoenvironments based on pollen and stable isotope investigations at Val-de-Lans, Isère, France",European Pollen Database
10.1007/BF01146193,pollen taxonomy and nomenclature (Fig. 5) follow those adopted by the European Pollen Database (Galliard,Vegetation History and Archaeobotany,Pollen-landscape relationships in modern analogues of ancient cultural landscapes in southern Sweden ? a first step towards quantification of vegetation openness in the past,European Pollen Database
10.1007/s00334-007-0119-5,available in the literature (Table 1). Data were either extracted from the European Pollen Database (EPD,Vegetation History and Archaeobotany,"Detection of the impact of early Holocene hunter-gatherers on vegetation in the Czech Republic, using multivariate analysis of pollen data",European Pollen Database
10.1007/s00334-012-0353-3,"peat-bogs, marine cores) was later on successfully incorporated into the European pollen database where",Vegetation History and Archaeobotany,A tribute to Prof. DSc Elissaveta Bozilova on the occasion of her 80th birthday,European Pollen Database
10.1007/s00334-014-0446-2,"nomenclature, was harmonised using the same procedure as the one used in the European pollen database (http://pollen.cerege.fr/fpd-epd/).",Vegetation History and Archaeobotany,The history of early cereal cultivation in northernmost Fennoscandia as indicated by palynological research,European Pollen Database
10.1007/s00334-020-00796-w,"doi.org/10.1017/97813​16686​942.013 Fyfe RM, de Beaulieu J-L, Binney H et al (2009) The European Pollen Database: past",Vegetation History and Archaeobotany,The environment they lived in: anthropogenic changes in local and regional vegetation composition in eastern Fennoscandia during the Neolithic,European Pollen Database
10.1007/s00334-021-00844-z,"Pollen Database (ALPADABA) and will be made publicly available on the European Pollen Database (EPD,",Vegetation History and Archaeobotany,"Holocene vegetation, fire and land use dynamics at Lake Svityaz, an agriculturally marginal site in northwestern Ukraine",European Pollen Database
